content_id,file,before,after,rule,risk_level,status
,2026-06-02-ultimate-guide-to-china-visa-for-tourists.md,title: China Tourist Visa Guide: How to Apply in 2026 — 2026 China Visa & 144-Hour Visa-Free Transit Explained,title: China Tourist Visa Guide: How to Apply in 2026,seo_title_too_long,MEDIUM,APPLIED
,2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,like a local,like a resident,brand_like_a_local,HIGH,APPLIED
,2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-06-22-chinese-tea-culture-history-types-and-tea-ceremony-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-06-23-sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,"## Xi'an Terracotta Army: History, Discovery, and Insider Tips","## Xi'an Terracotta Army: History, Discovery, and Practical Tips",brand_insider_h1_xian,HIGH,APPLIED
,2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,## Insider Tips for Visiting the Terracotta Army,## Practical Tips for Visiting the Terracotta Army,brand_insider_h2_xian,HIGH,APPLIED
,2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,- **The secret:** Go before 8 AM.,- **The tip:** Go before 8 AM.,brand_secret_zhangjiajie,HIGH,APPLIED
,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-01-chinabound-travel-guide-2026-07-monthly-update.md,Here are my top recommendations:,Here are our top recommendations:,brand_persona_top_recommendations,HIGH,APPLIED
,2026-07-02-how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026-guide.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-02-how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-02-how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-02-wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide.md,like a local,like a resident,brand_like_a_local,HIGH,APPLIED
,2026-07-02-wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide.md,like a local,like a resident,brand_like_a_local,HIGH,APPLIED
,2026-07-02-wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-04-china-high-speed-train-survival-guide-booking-classes-and-insider-tips.md,"# China High-Speed Train Survival Guide: Booking, Classes, and Insider Tips","# China High-Speed Train Survival Guide: Booking, Classes, and Practical Tips",brand_insider_h1_hsr,HIGH,APPLIED
,2026-07-04-china-high-speed-train-survival-guide-booking-classes-and-insider-tips.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-04-china-high-speed-train-survival-guide-booking-classes-and-insider-tips.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-04-china-high-speed-train-survival-guide-booking-classes-and-insider-tips.md,"description: China high-speed train survival guide: booking classes, finding your platform, and insider tips for first-time visitors, based on extensive research and traveler feedback.","description: China high-speed train survival guide: booking classes, finding your platform, and insider tips for first-time visitors, based on extensive research and...",seo_desc_too_long,MEDIUM,APPLIED
,2026-07-05-yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-06-a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-07-navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers.md,"As an American who's been soaking up the vibrant life in Chengdu for over 5 years, I've become a bit of an expert in the art of finding the well-suited place to rest my head.","Finding the right place to rest your head is part art, part research. This guide focuses on what international travelers actually need when booking accommodation in China.",brand_persona_intro_accommodation,HIGH,APPLIED
,2026-07-07-navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers.md,That's where I come in. I'm here to share my tried-and-true tips and tricks for navigating the accommodation scene in China.,That's where this guide comes in - with tried-and-true tips for navigating the accommodation scene in China.,brand_persona_intro_accommodation_2,HIGH,APPLIED
,2026-07-07-navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers.md,Here are my top recommendations:,Here are our top recommendations:,brand_persona_top_recommendations,HIGH,APPLIED
,2026-07-10-a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers.md,I highly recommend trying,we highly recommend trying,brand_persona_recommend,HIGH,APPLIED
,2026-07-10-a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers.md,like a local,like a resident,brand_like_a_local,HIGH,APPLIED
,2026-07-10-a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-10-a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-12-navigating-chinas-transportation-a-californians-guide-for-european-travelers.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-12-navigating-chinas-transportation-a-californians-guide-for-european-travelers.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-13-navigating-china-with-confidence-a-californians-guide-to-travel-safety.md,title: Is China Safe in 2026? Honest Guide — 2026 Safety Guide for International Travelers,title: Is China Safe in 2026? Honest Guide,seo_title_too_long,MEDIUM,APPLIED
,2026-07-14-transportation-guide-guide.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-16-food-recommendations-guide.md,one of my favorites,one of our favorites,brand_persona_favorite_dishes,HIGH,APPLIED
,2026-07-16-food-recommendations-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-16-is-china-safe-for-tourists-2026-honest-safety-assessment.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-20-travel-safety-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-20-travel-safety-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-21-cultural-etiquette-guide.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-21-cultural-etiquette-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-22-cultural-etiquette-guide.md,"As an American who has lived in Chengdu for over 5 years, I've had my fair share of cultural misunderstandings and hilarious mishaps. But fear not! I'm here to share my insights and help you navigate the ins and outs of Chinese cultural etiquette.",China's etiquette landscape has plenty of nuances that surprise first-time visitors. This guide helps you navigate the most common situations with confidence.,brand_persona_intro_etiquette,HIGH,APPLIED
,2026-07-22-cultural-etiquette-guide.md,Here are my top recommendations:,Here are our top recommendations:,brand_persona_top_recommendations,HIGH,APPLIED
,2026-07-22-cultural-etiquette-guide.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-22-cultural-etiquette-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-23-foodies-guide-to-china-a-gastronomic-adventure.md,share your experiences with me! I'd love to hear about your favorite Chinese dishes,share your experiences in the comments! We'd love to hear about your favorite Chinese dishes,brand_persona_foodies_closing,HIGH,APPLIED
,2026-07-23-foodies-guide-to-china-a-gastronomic-adventure.md,Here are my top recommendations:,Here are our top recommendations:,brand_persona_top_recommendations,HIGH,APPLIED
,2026-07-23-foodies-guide-to-china-a-gastronomic-adventure.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-23-foodies-guide-to-china-a-gastronomic-adventure.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-27-accommodation-tips-guide.md,like a local,like a resident,brand_like_a_local,HIGH,APPLIED
,2026-07-27-accommodation-tips-guide.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-07-27-accommodation-tips-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-27-accommodation-tips-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-07-31-china-remote-work-guide-a-californians-5-year-chengdu-experience.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-08-01-china-photography-guide-capturing-the-wonders-of-the-middle-kingdom.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-08-01-china-photography-guide-capturing-the-wonders-of-the-middle-kingdom.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-08-01-chinabound-travel-guide-2026-08-monthly-update.md,"a ""secret back entrance""","a ""back entrance""",brand_secret_scam_quote,HIGH,APPLIED
,2026-08-01-chinabound-travel-guide-2026-08-monthly-update.md,best,top,ai_abs_best,MEDIUM,APPLIED
,2026-08-01-chinabound-travel-guide-2026-08-monthly-update.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-08-03-chinese-language-survival-phrases-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-08-05-china-family-travel-tips-a-californians-guide.md,"don't worry, I'm here to be your guide through it all",don't worry - this guide walks you through it all,brand_persona_family_visa_guide,HIGH,APPLIED
,2026-08-07-china-bargaining-and-shopping-guide.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-08-07-china-bargaining-and-shopping-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-08-09-china-packing-list-2026-what-to-bring-and-what-to-leave-at-home.md,title: China Packing List 2026: What to Bring — 2026 Packing Essentials for International Travelers,title: China Packing List 2026: What to Bring,seo_title_too_long,MEDIUM,APPLIED
,2026-08-10-chinas-food-through-the-ages-guide.md,the hotpot in my neighborhood,the hotpot in the neighborhood,brand_persona_food_history_narrative,HIGH,APPLIED
,2026-08-10-shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide.md,Like a Local,Like a Resident,brand_like_a_local,HIGH,APPLIED
,2026-08-10-shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-08-10-shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-08-10-shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide.md,title: Shanghai Vs Beijing: Which Chinese City Should You Visit First? Guide,title: Shanghai Vs Beijing: Which Chinese City Should You Visit...,seo_title_too_long,MEDIUM,APPLIED
,2026-08-11-chinese-tea-culture-where-to-experience-authentic-teahouses.md,"remember, as I often say, ""In China, tea is not just a drink, it's a way of life.""","remember: ""In China, tea is not just a drink - it's a way of life.""",brand_persona_tea_quote,HIGH,APPLIED
,2026-08-11-chinese-tea-culture-where-to-experience-authentic-teahouses.md,Insider Tips,Practical Tips,brand_insider_tips,HIGH,APPLIED
,2026-08-11-chinese-tea-culture-where-to-experience-authentic-teahouses.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,2026-08-11-chinese-tea-culture-where-to-experience-authentic-teahouses.md,description: Chinese Tea Culture: Where to Experience Authentic Teahouses for travelers visiting China. what you need to know before your trip from on-the-ground experience in China.,description: Chinese Tea Culture: Where to Experience Authentic Teahouses for travelers visiting China. what you need to know before your trip from on-the-ground...,seo_desc_too_long,MEDIUM,APPLIED
,2026-08-12-china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide.md,Like a Local,Like a Resident,brand_like_a_local,HIGH,APPLIED
,alipay-wechat-pay-foreigners-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,china-airport-transfer-guide.md,title: China Airport Transfer Guide (2026): From Airports to City Centers,title: China Airport Transfer Guide (2026): From Airports to City...,seo_title_too_long,MEDIUM,APPLIED
,china-airport-transfer-guide.md,"description: How to get from Chinese airports to city centers in 2026: airport express trains, metro, taxis, ride-hailing, and private transfers compared for Beijing, Shanghai, and Guangzhou.","description: How to get from Chinese airports to city centers in 2026: airport express trains, metro, taxis, ride-hailing, and private transfers compared for Beijing...",seo_desc_too_long,MEDIUM,APPLIED
,china-extends-144-hour-visa-free-transit-policy-to-more-countries.md,best,top,ai_abs_best,MEDIUM,APPLIED
,china-transportation-card-guide.md,"title: China Transportation Card Guide (2026): Metro Cards, Transit Apps & Payment Options for Foreign Travelers","title: China Transportation Card Guide (2026): Metro Cards, Transit...",seo_title_too_long,MEDIUM,APPLIED
,china-transportation-card-guide.md,"description: How transportation cards work in China in 2026: metro IC cards, transit apps, and mobile payment options compared for foreign travelers in Beijing, Shanghai, and beyond.","description: How transportation cards work in China in 2026: metro IC cards, transit apps, and mobile payment options compared for foreign travelers in Beijing...",seo_desc_too_long,MEDIUM,APPLIED
,internet-connection-china-esim-vpn-guide.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
,internet-connection-china-esim-vpn-guide.md,title: Internet in China: eSIM vs SIM vs VPN (2026) — Foreigners Payment Setup,title: Internet in China: eSIM vs SIM vs VPN (2026),seo_title_too_long,MEDIUM,APPLIED
,western-sichuan-overland-camping-route.md,is China's a popular-kept secret,is one of China's lesser-known regions,brand_secret_region_typo,HIGH,APPLIED
,western-sichuan-overland-camping-route.md,Best,Top,ai_abs_best,MEDIUM,APPLIED
