content_id,url,title,intent,impressions_28d,position_28d,indexed_status,existing_partners,traffic_score,intent_score,cta_match_score,cta_gap_score,risk_score,conversion_score,commercial_query
cbt-0897b4c56074,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,China Food Guide for European Travelers,FOOD,0,0.0,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",0,18,25,8,5,56,False
cbt-6f28480baea0,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,Chinese Train Stations: Survival Guide for Travelers,TRAIN,0,0.0,NOT_INDEXED,,0,28,8,15,5,56,True
cbt-7996811c1d23,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,Is China Safe in 2026? Honest Guide,TOUR,7,42.14,INDEXED,"Airalo,Aviasales,Booking,Klook,SafetyWing",3,20,25,2,5,55,False
cbt-673e981fe6f2,https://www.chinaboundtravel.com/posts/2026-05-26-is-china-safe-for-tourists-2026-honest-assessment/,Is China Safe for Tourists in 2026? Honest Guide,TOUR,3,87.33,INDEXED,"Airalo,Aviasales,Booking,Klook,SafetyWing",3,20,25,2,5,55,False
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,China Travel Guide: August 2026 Update,GENERAL,52,11.4,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",10,10,25,2,5,52,False
cbt-bfeaa5ca9007,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,China Photography Guide: Best Spots & Tips,GENERAL,51,20.88,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",10,10,25,2,5,52,False
cbt-23c31fe5b281,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,Yunnan Travel Guide: Rice Terraces & Ancient Towns,CITY,40,20.7,INDEXED,"Aviasales,Booking,Klook",6,14,25,2,5,52,False
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,Western Sichuan Overland Camping Route: 7 Days,CITY,26,19.31,INDEXED,"Airalo,Aviasales,Booking,Klook,SafetyWing",6,14,25,2,5,52,False
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,Guilin & Yangshuo: Complete 2026 Travel Guide,CITY,24,18.88,INDEXED,"Airalo,Aviasales,Booking,Klook",6,14,25,2,5,52,False
cbt-c885da2cf5d9,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,"7-Day China Itinerary: Beijing, Xi'an & Shanghai",TOUR,0,0.0,INDEXED,"Airalo,Aviasales,Booking,Klook",0,20,25,2,5,52,False
cbt-6a164e0e8077,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,Chengdu Panda Base Guide: See the Pandas Like a Local,TOUR,0,0.0,INDEXED,"Airalo,Aviasales,Booking,Klook,SafetyWing",0,20,25,2,5,52,False
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,Shanghai 48-Hour Guide: Bund & French Concession,CITY,11,11.09,INDEXED,"Aviasales,Booking,Klook,Trip.com",3,14,25,2,5,49,False
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,Shanghai Beyond the Bund: Hidden Neighborhoods,CITY,2,16.0,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",3,14,25,2,5,49,False
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,Hangzhou Travel Guide: West Lake & Tea Culture,CITY,1,49.0,INDEXED,"Airalo,Aviasales,Booking,Klook,Trip.com",3,14,25,2,5,49,False
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,"Xi'an Terracotta Army: Tickets, Tips & History",CITY,1,5.0,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",3,14,25,2,5,49,True
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,Best Travel Insurance for China 2026,INSURANCE,0,0.0,INDEXED,"Airalo,Allianz,Aviasales,Klook,SafetyWing,World Nomads",0,24,18,2,5,49,True
cbt-407090802298,https://www.chinaboundtravel.com/posts/shanghai-like-a-local-hidden-neighborhoods-tourist/,Shanghai Like a Local  Hidden Neighborhoods Tourists Never Find,TOUR,0,0.0,NOT_INDEXED,,0,20,8,15,5,48,False
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,China Remote Work Guide: 5 Years in Chengdu,CITY,0,0.0,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",0,14,25,2,5,46,False
cbt-067675763415,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,How Chinese Food Evolved: 2 Million Years of History,FOOD,0,0.0,NOT_INDEXED,,0,18,8,15,5,46,False
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,Chinese Language Survival Phrases Guide 2026,GENERAL,11,27.45,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",3,10,25,2,5,45,False
cbt-0bb1cb1e308d,https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,"China National Parks: Zhangjiajie, Jiuzhaigou, And Beyond Guide",CITY,0,0.0,NOT_INDEXED,,0,14,8,15,5,42,False
cbt-698862ce2129,https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,"Chinese Tea Culture: History, Types & Ceremony",GENERAL,0,0.0,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",0,10,25,2,5,42,False
cbt-bc3e1afe5dc0,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,Shanghai Vs Beijing: Which Chinese City Should You Visit First? Guide,CITY,0,0.0,INDEXED,,0,14,8,15,5,42,False
cbt-74e8424894c4,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,China Bargaining Guide: How to Haggle & Shop,GENERAL,0,0.0,ALTERNATE PAGE WITH PROPER CANONICAL TAG,,0,10,8,15,5,38,False
cbt-49088019c529,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,China Family Travel Tips: Guide & Mistakes to Avoid,GENERAL,0,0.0,INDEXED,,0,10,8,15,5,38,False
cbt-575e18482ca0,https://www.chinaboundtravel.com/posts/china-just-made-it-way-easier-to-visit-my-mother-i/,China Just Made It WAY Easier to Visit (My Mother-in-Law is STOKED),GENERAL,0,0.0,NOT_INDEXED,,0,10,8,15,5,38,False
cbt-932a277b1899,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,China Packing List 2026: What to Bring,GENERAL,0,0.0,INDEXED,,0,10,8,15,5,38,False
cbt-034b43ef5e3a,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,Chinese Tea Culture: Where to Experience Authentic Teahouses,GENERAL,0,0.0,INDEXED,,0,10,8,15,5,38,False
cbt-0953b5433c00,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,China Cultural Etiquette Guide: Dos and Don'ts,GENERAL,0,0.0,INDEXED,,0,10,8,15,5,38,False
