content_id,url,title,intent,impressions_28d,clicks_28d,affiliate_present,commercial_score
cbt-c59607760fee,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,Chinese Street Food: Night Markets & What to Eat,FOOD,6.0,0.0,yes,6.0
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,How to Use Alipay as a Foreigner (2026),PAYMENT,1.0,0.0,yes,2.0
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,Shanghai Beyond the Bund: Hidden Neighborhoods,CITY,2.0,1.0,yes,2.0
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,How to Set Up & Use WeChat Pay Step by Step (2026 Guide),PAYMENT,1.0,0.0,yes,2.0
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,Hangzhou Travel Guide: West Lake & Tea Culture,CITY,1.0,0.0,yes,1.0
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,"Xi'an Terracotta Army: Tickets, Tips & History",CITY,1.0,0.0,yes,1.0
cbt-c885da2cf5d9,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,"7-Day China Itinerary: Beijing, Xi'an & Shanghai",TOUR,0,0,yes,0.0
cbt-0adceab18b53,https://www.chinaboundtravel.com/posts/alipay-for-foreigners-guide/,Alipay for Foreigners in China: Setup Guide and Payment Tips (2026),PAYMENT,0,0,no,0.0
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,How to Use Alipay & WeChat Pay in China (2026),PAYMENT,0,0,yes,0.0
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,Best Travel Insurance for China 2026,INSURANCE,0,0,yes,0.0
cbt-02a3e0d6ed4f,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,China Airport Transfer Guide (2026): From Airports to City Centers,CITY,0,0,yes,0.0
cbt-74e8424894c4,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,China Bargaining Guide: How to Haggle & Shop,GENERAL,0,0,no,0.0
cbt-49088019c529,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,China Family Travel Tips: Guide & Mistakes to Avoid,GENERAL,0,0,no,0.0
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,How to Book China High-Speed Train Tickets (2026),TRAIN,0,0,yes,0.0
cbt-4e09fa4aa93d,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,China High-Speed Trains: Booking & Insider Tips,TRAIN,0,0,yes,0.0
cbt-0bb1cb1e308d,https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,"China National Parks: Zhangjiajie, Jiuzhaigou, and Beyond",CITY,0,0,no,0.0
cbt-932a277b1899,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,China Packing List 2026: What to Bring,GENERAL,0,0,no,0.0
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,China Remote Work Guide: Digital Nomad Essentials,CITY,0,0,yes,0.0
cbt-55aef784e6aa,https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,China Transportation Card Guide (2026): Metro Cards & Transit Apps,VISA,0,0,yes,0.0
cbt-95d9a1b95440,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,China Travel Guide: July 2026 Updates & Visa Rules,VISA,0,0,yes,0.0
cbt-067675763415,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,How Chinese Food Evolved: 2 Million Years of History,FOOD,0,0,no,0.0
cbt-698862ce2129,https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,"Chinese Tea Culture: History, Types & Ceremony",GENERAL,0,0,yes,0.0
cbt-034b43ef5e3a,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,Chinese Tea Culture: Where to Experience Authentic Teahouses,GENERAL,0,0,no,0.0
cbt-0953b5433c00,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,China Cultural Etiquette Guide: Dos and Don'ts,GENERAL,0,0,no,0.0
cbt-6a164e0e8077,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,Chengdu Panda Base Guide: See the Pandas Like a Local,TOUR,0,0,yes,0.0
cbt-1005a037234b,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,China Food Guide for European Travelers,FOOD,0,0,yes,0.0
cbt-6f28480baea0,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,Chinese Train Stations: Survival Guide for Travelers,TRAIN,0,0,yes,0.0
cbt-a349eee78670,https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,Internet in China: eSIM vs SIM vs VPN (2026),INTERNET,0,0,yes,0.0
cbt-673e981fe6f2,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-assessment/,Is China Safe for Tourists in 2026? Honest Guide,TOUR,0,0,yes,0.0
cbt-abb64a856c29,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,PayPal + Alipay + WeChat Pay: What It Means for You,PAYMENT,0,0,yes,0.0
cbt-bc3e1afe5dc0,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,Shanghai vs Beijing: Which Chinese City to Visit First,CITY,0,0,no,0.0
cbt-558f85f45e9a,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,Great Wall of China: History Beyond the Tourist Trail,TRAIN,0,0,yes,0.0
cbt-73f33c49bc51,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,China Tourist Visa Guide: How to Apply in 2026,VISA,0,0,yes,0.0
