content_id,url,title,section,sessions,pageviews,gsc_impressions,gsc_clicks,avg_position,affiliate_clicks,affiliate_clicks_per_1000_sessions,revenue,revenue_status,partner_count,has_affiliate,drive_active,commercial_intent,indexed_status,seo_opportunity_score,query_count,revenue_opportunity_score,raw_score,data_confidence_pct,tier,primary_action
cbt-c59607760fee,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,Chinese Street Food: Night Markets & What to Eat,posts,162,365,6.0,0.0,27.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,2,True,True,FOOD,INDEXED,46.0,0.0,35.5,40.5,57.0,D,MEASURE_MORE
cbt-de065751769e,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,"China Transportation Guide: Trains, Subways & Taxis",posts,162,365,107.0,0.0,22.33,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,GENERAL,INDEXED,0.0,0,31.4,30.0,80.7,D,MONITOR
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,China Remote Work Guide: 5 Years in Chengdu,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,CITY,INDEXED,32.0,0.0,30.7,37.0,47.5,D,MONITOR
cbt-0adceab18b53,https://www.chinaboundtravel.com/posts/alipay-for-foreigners-guide/,Alipay for Foreigners in China: Setup Guide and Payment Tips (2026),posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,PAYMENT,UNKNOWN,30.0,0.0,28.4,34.0,47.5,D,MONITOR
cbt-55aef784e6aa,https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,"China Transportation Card Guide (2026): Metro Cards, Transit Apps & Payment Options for Foreign Travelers",posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,VISA,UNKNOWN,30.0,0.0,28.4,34.0,47.5,D,MONITOR
cbt-1005a037234b,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,China Food Guide for European Travelers,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,FOOD,INDEXED,0.0,0,27.6,33.0,47.5,D,MONITOR
cbt-698862ce2129,https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,"Chinese Tea Culture: History, Types & Ceremony",posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,GENERAL,INDEXED,32.0,0.0,25.3,30.0,47.5,D,MONITOR
cbt-baa2f6fba2f0,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,Where to Stay in China: Complete 2026 Guide,posts,162,365,17.0,0.0,48.06,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,TRAVEL_GUIDE,INDEXED,52.0,8.0,22.2,24.0,57.0,D,MEASURE_MORE
cbt-dfe3904705ea,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,China Travel Safety 2026: Guide for Travelers,posts,162,365,7.0,0.0,42.14,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,TRAVEL_GUIDE,INDEXED,46.0,0.0,18.9,20.0,57.0,D,MEASURE_MORE
cbt-bc3e1afe5dc0,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,Shanghai Vs Beijing: Which Chinese City Should You Visit First? Guide,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,CITY,INDEXED,32.0,0.0,17.7,20.0,47.5,D,MONITOR
cbt-02a3e0d6ed4f,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,China Airport Transfer Guide (2026): From Airports to City Centers,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,TRANSPORT,UNKNOWN,30.0,0.0,16.1,18.0,47.5,D,MONITOR
cbt-0bb1cb1e308d,https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,"China National Parks: Zhangjiajie, Jiuzhaigou, And Beyond Guide",posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,CITY,NOT_INDEXED,12.0,0.0,14.6,16.0,47.5,D,MONITOR
cbt-067675763415,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,How Chinese Food Evolved: 2 Million Years of History,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,FOOD,NOT_INDEXED,12.0,0.0,14.6,16.0,47.5,D,MONITOR
cbt-407090802298,https://www.chinaboundtravel.com/posts/shanghai-like-a-local-hidden-neighborhoods-tourist/,Shanghai Like a Local  Hidden Neighborhoods Tourists Never Find,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,CITY,NOT_INDEXED,12.0,0.0,14.6,16.0,47.5,D,MONITOR
cbt-7996811c1d23,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,Is China Safe for Tourists in 2026? Honest Guide,posts,162,365,7.0,0.0,42.14,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,GENERAL,INDEXED,0.0,0,13.3,13.0,57.0,D,MEASURE_MORE
cbt-49088019c529,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,China Family Travel Tips: Guide & Mistakes to Avoid,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,GENERAL,INDEXED,32.0,0.0,12.3,13.0,47.5,D,MONITOR
cbt-932a277b1899,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,China Packing List 2026: What to Bring,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,GENERAL,INDEXED,32.0,0.0,12.3,13.0,47.5,D,MONITOR
cbt-034b43ef5e3a,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,Chinese Tea Culture: Where to Experience Authentic Teahouses,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,GENERAL,INDEXED,32.0,0.0,12.3,13.0,47.5,D,MONITOR
cbt-2b8c6981425b,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,China Etiquette Guide for Aussie & Kiwi Travelers,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,TRAVEL_GUIDE,INDEXED,32.0,0.0,12.3,13.0,47.5,D,MONITOR
cbt-acae8a973429,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,Foodie's Guide to China: Dishes You Must Try,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,TRAVEL_GUIDE,INDEXED,32.0,0.0,12.3,13.0,47.5,D,MONITOR
cbt-74e8424894c4,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,China Bargaining Guide: How to Haggle & Shop,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,GENERAL,Alternate page with proper canonical tag,12.0,0.0,9.3,9.0,47.5,D,MONITOR
cbt-575e18482ca0,https://www.chinaboundtravel.com/posts/china-just-made-it-way-easier-to-visit-my-mother-i/,China Just Made It WAY Easier to Visit (My Mother-in-Law is STOKED),posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,TRAVEL_GUIDE,NOT_INDEXED,12.0,0.0,9.3,9.0,47.5,D,MONITOR
cbt-0953b5433c00,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,China Cultural Etiquette Guide: Dos and Don'ts,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,GENERAL,INDEXED,0.0,0,9.3,9.0,47.5,D,MONITOR
cbt-5479873d6104,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,China Food Guide: Must-Try Dishes & Restaurants,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,GENERAL,INDEXED,0.0,0,9.3,9.0,47.5,D,MONITOR
cbt-0897b4c56074,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,China Food Guide 2026: What to Eat & Where,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,GENERAL,INDEXED,0.0,0,9.3,9.0,47.5,D,MONITOR
