content_id,title,url,impressions,clicks,affiliate_clicks,partner,commercial_intent,drive_status,commercial_score
cbt-550a6e3e929c,Sichuan Hotpot Guide: History & Best Restaurants,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,11,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",FOOD,ACTIVE,11.0
cbt-57d0b0208d3b,Is China Safe in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,7,0,0,"Aviasales, Booking, Klook, SafetyWing",TOUR,ACTIVE,7.0
cbt-c59607760fee,Chinese Street Food: Night Markets & What to Eat,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,6,0,0,"Airalo, Klook",FOOD,ACTIVE,6.0
cbt-ae69cb9f84b0,How to Use Alipay as a Foreigner (2026),https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,1,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",PAYMENT,ACTIVE,2.0
cbt-663ab3f3b0fa,Shanghai Beyond the Bund: Hidden Neighborhoods,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,2,1,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",CITY,ACTIVE,2.0
cbt-255af4ed003a,How to Set Up & Use WeChat Pay Step by Step (2026 Guide),https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,1,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",PAYMENT,ACTIVE,2.0
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,1,0,0,"Airalo, Aviasales, Booking, Klook, Trip.com",CITY,ACTIVE,1.0
cbt-d7747b73c978,"Xi'an Terracotta Army: Tickets, Tips & History",https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,1,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",CITY,ACTIVE,1.0
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi'an & Shanghai",https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,0,0,0,"Airalo, Aviasales, Booking, Klook",TOUR,ACTIVE,0.0
cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,0,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",PAYMENT,ACTIVE,0.0
cbt-d701fb08eb7b,Best Travel Insurance for China 2026,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,0,0,0,"Airalo, Allianz, Aviasales, Klook, SafetyWing, World Nomads",INSURANCE,ACTIVE,0.0
cbt-74e8424894c4,China Bargaining Guide: How to Haggle & Shop,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,0,0,0,NONE,GENERAL,ACTIVE,0.0
cbt-49088019c529,China Family Travel Tips: Guide & Mistakes to Avoid,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,0,0,0,NONE,GENERAL,ACTIVE,0.0
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,0,0,0,"Airalo, Aviasales, Klook, SafetyWing, Trip.com",TRAIN,ACTIVE,0.0
cbt-4e09fa4aa93d,China High-Speed Trains: Booking & Insider Tips,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,0,0,0,"Aviasales, Booking, Klook",TRAIN,ACTIVE,0.0
cbt-0bb1cb1e308d,"China National Parks: Zhangjiajie, Jiuzhaigou, And Beyond Guide",https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,0,0,0,NONE,CITY,ACTIVE,0.0
cbt-932a277b1899,China Packing List 2026: What to Bring,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,0,0,0,NONE,GENERAL,ACTIVE,0.0
cbt-92448be1e0ca,China Remote Work Guide: 5 Years in Chengdu,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,0,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",CITY,ACTIVE,0.0
cbt-95d9a1b95440,China Travel Guide: July 2026 Updates & Visa Rules,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,0,0,0,"Booking, Klook, SafetyWing",VISA,ACTIVE,0.0
cbt-067675763415,How Chinese Food Evolved: 2 Million Years of History,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,0,0,0,NONE,FOOD,ACTIVE,0.0
cbt-698862ce2129,"Chinese Tea Culture: History, Types & Ceremony",https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,0,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",GENERAL,ACTIVE,0.0
cbt-034b43ef5e3a,Chinese Tea Culture: Where to Experience Authentic Teahouses,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,0,0,0,NONE,GENERAL,ACTIVE,0.0
cbt-0953b5433c00,China Cultural Etiquette Guide: Dos and Don'ts,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,0,0,0,NONE,GENERAL,ACTIVE,0.0
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,0,0,0,"Airalo, Aviasales, Booking, Klook, SafetyWing",TOUR,ACTIVE,0.0
cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,0,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",FOOD,ACTIVE,0.0
cbt-6f28480baea0,Chinese Train Stations: Survival Guide for Travelers,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,0,0,0,"Airalo, Aviasales, Klook",TRAIN,ACTIVE,0.0
cbt-a349eee78670,Internet in China: eSIM vs SIM vs VPN (2026),https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,0,0,0,"Airalo, Aviasales, Booking, Klook, SafetyWing",INTERNET,ACTIVE,0.0
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-assessment/,0,0,0,"Airalo, Aviasales, Booking, Klook, SafetyWing",TOUR,ACTIVE,0.0
cbt-abb64a856c29,PayPal + Alipay + WeChat Pay: What It Means for You,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,0,0,0,"Airalo, Aviasales, Booking, Klook",PAYMENT,ACTIVE,0.0
cbt-bc3e1afe5dc0,Shanghai Vs Beijing: Which Chinese City Should You Visit First? Guide,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,0,0,0,NONE,CITY,ACTIVE,0.0
cbt-558f85f45e9a,Great Wall of China: History Beyond the Tourist Trail,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,0,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",TRAIN,ACTIVE,0.0
cbt-73f33c49bc51,China Tourist Visa Guide: How to Apply in 2026,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,0,0,0,"Aviasales, Booking, Klook, SafetyWing",VISA,ACTIVE,0.0
