content_id,file,issue_type,before,after,rule,evidence_status,action,validation_status
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,"'Based on what we actually spent (2 people, mid-range):'",'Based on typical mid-range spending for two people:',AUTO_FIX: fabricated spending claim removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,'We've seen travelers in flip-flops... They were in tears 10 minutes later.',"'The stone steps are uneven, often wet, and occasionally sheer drops. Trail runners or lightweight hiking shoes are ideal.'",AUTO_FIX: fabricated anecdotal observation removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,ai_wording,'one of the popular possible way' / 'a popular weather overall' / 'spotty at a popular' / 'one of the popular possible way','in the best possible way' / 'Best overall weather' / 'spotty at best' / 'in the best possible way',SAFE_NORMALIZE: corrupted superlatives restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,'Travelers have reported seeing someone trip... and need a helicopter evacuation.',"'Injuries happen, and rescue in a remote park can be expensive.'",AUTO_FIX: fabricated incident report removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,fact_risk,"Ticket prices, distances, travel times, and cable car records retained",Unchanged,FACT_CHECK_REQUIRED: numerical claims need official source,NO_VERIFIED_SOURCE,FACT_CHECK_REQUIRED,PASS
cbt-baa2f6fba2f0,2026-07-27-accommodation-tips-guide.md,brand_persona,"'Based on extensive research and aggregated traveler feedback from over 10 years of covering China travel, we've had our fair share of experiences...'","'Based on extensive research and aggregated traveler feedback, this guide shares practical tips...'",AUTO_FIX: fabricated tenure/personal experience removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-baa2f6fba2f0,2026-07-27-accommodation-tips-guide.md,ai_wording,'it's a popular to book in advance' / 'it's a popular to start early','it's best to book in advance' / 'it's best to start early',SAFE_NORMALIZE: corrupted superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-baa2f6fba2f0,2026-07-27-accommodation-tips-guide.md,ai_wording,'one of the popular possible rate','the best possible rate',SAFE_NORMALIZE: corrupted superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-baa2f6fba2f0,2026-07-27-accommodation-tips-guide.md,ai_wording,'a popular deals on flights to China' (affiliate table),'Popular deals on flights to China',SAFE_NORMALIZE: corrupted wording removed,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-baa2f6fba2f0,2026-07-27-accommodation-tips-guide.md,fact_risk,"Visa, price ranges, and availability claims retained",Unchanged,FACT_CHECK_REQUIRED: policy/price claims need official source,NO_VERIFIED_SOURCE,FACT_CHECK_REQUIRED,PASS
cbt-550a6e3e929c,2026-06-23-sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance.md,ai_wording,"'the history, a popular restaurants, and cultural significance'","'the history, popular restaurants, and cultural significance'",SAFE_NORMALIZE: corrupted article removed,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-550a6e3e929c,2026-06-23-sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance.md,ai_wording,"'Now, let's talk about one of the popular-known restaurants...'",'Two well-known restaurants stand out for Sichuan hotpot.',SAFE_NORMALIZE: corrupted superlative replaced without new factual claim,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-550a6e3e929c,2026-06-23-sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance.md,brand_persona,'regulars say it's worth it for the taste',Removed unverified local-quote claim,AUTO_FIX: invented local quote removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-550a6e3e929c,2026-06-23-sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance.md,ai_wording,'a popular deals on flights to China' (affiliate table),'Popular deals on flights to China',SAFE_NORMALIZE: corrupted wording removed,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-302467d853db,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,formatting_error,"Broken parentheticals: 'The Bund ()', 'Lujiazui (', 'Huaihai Middle Road ()', 'Xintiandi (Xintiandi', 'Tianzifang (Tianzifang', 'Ferguson Lane (Ferguson Lane', 'Dashijie (Dashijie', 'Yunnan Road (Yunnan Road', 'The French Concession ('",Malformed parentheticals removed; place labels restored,AUTO_FIX: formatting error / stripped placeholder text,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-302467d853db,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,formatting_error,'Shanghai Bund & French Concession  2-Day Deep Dive' and 'Day 1: The Bund Nanjing Road The Riverwalk',"'Shanghai Bund & French Concession 2-Day Deep Dive' and 'Day 1: The Bund, Nanjing Road, and the Riverwalk'",AUTO_FIX: formatting error / heading structure,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-302467d853db,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,brand_persona,"'Turns out, Shanghai said ""hold my beer"" and kept building upward.'",Removed informal meme phrasing,AUTO_FIX: editorial voice normalization,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-302467d853db,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,ai_wording,'For the *actual* a popular view of the Shanghai skyline','For one of the best views of the Shanghai skyline',SAFE_NORMALIZE: corrupted superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-302467d853db,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,formatting_error,'they'd generally not recommended have ordered otherwise','that they wouldn't have ordered otherwise',AUTO_FIX: formatting / broken wording,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-302467d853db,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,formatting_error,'| **a popular time to visit** |' table header,'| **Best time to visit** |',AUTO_FIX: formatting / table header capitalization,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-302467d853db,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,formatting_error,'one of the real challenge is not spending all your money','The real challenge is not spending all your money',AUTO_FIX: formatting / broken sentence,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-302467d853db,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,fact_risk,"Metro fares, hotel prices, opening hours, and distance claims retained",Unchanged,FACT_CHECK_REQUIRED: price/schedule/distance claims need official source,NO_VERIFIED_SOURCE,FACT_CHECK_REQUIRED,PASS
cbt-cfd5d7b39f09,2026-08-03-chinese-language-survival-phrases-guide.md,formatting_error,'you're one of the one without subtitles','you're one of the few without subtitles',AUTO_FIX: formatting / broken wording,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-cfd5d7b39f09,2026-08-03-chinese-language-survival-phrases-guide.md,formatting_error,'they almost often mean Mandarin','they usually mean Mandarin',AUTO_FIX: formatting / broken wording,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-cfd5d7b39f09,2026-08-03-chinese-language-survival-phrases-guide.md,formatting_error,'generally not recommended argue with or correct a Chinese person in public','don't argue with or correct a Chinese person in public',AUTO_FIX: formatting / broken wording,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-cfd5d7b39f09,2026-08-03-chinese-language-survival-phrases-guide.md,brand_persona,Fabricated interaction: 'The hotpot waitress who goes out of her way... The taxi driver who teaches you... The old man at the tea house...',Editorial generalization: 'A vendor may recommend a popular dish... A taxi driver might share local slang... An older traveler at a tea house...',AUTO_FIX: fabricated personal interactions removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-cfd5d7b39f09,2026-08-03-chinese-language-survival-phrases-guide.md,ai_wording,'is the well-suited response','is the best response',SAFE_NORMALIZE: corrupted wording restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-cfd5d7b39f09,2026-08-03-chinese-language-survival-phrases-guide.md,ai_wording,'a popular deals on flights to China' (affiliate table),'Popular deals on flights to China',SAFE_NORMALIZE: corrupted wording removed,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-cfd5d7b39f09,2026-08-03-chinese-language-survival-phrases-guide.md,fact_risk,"1.3 billion speakers, 80,000 characters, 5,000-year history, 80+ phrase claims retained",Unchanged,FACT_CHECK_REQUIRED: numerical/historical claims need verified source,NO_VERIFIED_SOURCE,FACT_CHECK_REQUIRED,PASS
cbt-c59607760fee,2026-07-01-chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls.md,ai_wording,'From one of the popular night markets to the must-try dishes','From the best night markets to the must-try dishes',SAFE_NORMALIZE: corrupted superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-c59607760fee,2026-07-01-chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls.md,formatting_error,'a new favorite that you generally not recommended knew existed','a new favorite that you never knew existed',AUTO_FIX: formatting / broken wording,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-c59607760fee,2026-07-01-chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls.md,ai_wording,'exploring the street food is an absolute must','exploring the street food is a must',SAFE_NORMALIZE: unsupported absolute softened,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
