content_id,url,priority,recommended_action,reason,traffic_score,seo_score,engagement_score,commercial_score,affiliate_score,revenue_score,trust_score,risk_score,status
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,P2,FACT_CHECK,"impressions=1, pos=5.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=11, social_published=0",26.6,80.0,0.0,38.2,100.0,0.0,57.0,0.0,READY
cbt-c59607760fee,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,P2,FACT_CHECK,"impressions=6, pos=27.0, indexed=INDEXED, fact_issues=3, affiliate_ctas=2, social_published=0",47.6,60.0,0.0,51.0,42.0,0.0,79.0,0.0,READY
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,P2,FACT_CHECK,"impressions=1, pos=64.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=10, social_published=0",26.6,42.0,0.0,73.5,100.0,0.0,70.0,0.0,READY
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,P2,WAIT,"impressions=1, pos=11.0, indexed=Alternate page with proper canonical tag, fact_issues=8, affiliate_ctas=11, social_published=0",26.6,60.0,0.0,72.2,100.0,0.0,62.0,20.0,WAIT
cbt-57d0b0208d3b,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,P2,FACT_CHECK,"impressions=7, pos=42.1, indexed=INDEXED, fact_issues=8, affiliate_ctas=4, social_published=0",49.8,50.0,0.0,46.8,74.0,0.0,68.0,10.0,READY
cbt-673e981fe6f2,https://www.chinaboundtravel.com/posts/2026-05-26-is-china-safe-for-tourists-2026-honest-assessment/,P2,FACT_CHECK,"impressions=3, pos=87.3, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=3",38.2,40.0,10.0,46.8,90.0,0.0,63.0,0.0,READY
cbt-23c31fe5b281,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,P2,FROZEN,"impressions=40, pos=20.7, indexed=INDEXED, fact_issues=8, affiliate_ctas=3, social_published=0",77.2,62.0,0.0,39.5,58.0,0.0,52.0,50.0,FROZEN
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,P2,FACT_CHECK,"impressions=1, pos=49.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",26.6,50.0,0.0,38.2,90.0,0.0,67.0,0.0,READY
cbt-7996811c1d23,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,P2,FACT_CHECK,"impressions=7, pos=42.1, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",49.8,50.0,0.0,21.2,60.0,0.0,62.0,10.0,READY
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,P2,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=11, social_published=0",5.0,30.0,0.0,72.2,100.0,0.0,69.0,0.0,READY
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=14, social_published=0",5.0,30.0,0.0,72.2,100.0,0.0,52.0,0.0,READY
cbt-abb64a856c29,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=7, affiliate_ctas=4, social_published=0",5.0,30.0,0.0,72.2,74.0,0.0,77.0,0.0,READY
cbt-dfe3904705ea,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,WATCH,TECHNICAL_FIX,"impressions=7, pos=42.1, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",49.8,50.0,0.0,34.0,60.0,0.0,52.0,40.0,TECHNICAL_FIX
cbt-73f33c49bc51,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=4, social_published=0",5.0,30.0,0.0,76.5,74.0,0.0,66.0,0.0,READY
cbt-a349eee78670,https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",5.0,30.0,0.0,55.2,90.0,0.0,64.0,0.0,READY
cbt-6a164e0e8077,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",5.0,30.0,0.0,46.8,90.0,0.0,67.0,0.0,READY
cbt-c885da2cf5d9,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",5.0,30.0,0.0,46.8,86.0,0.0,70.0,0.0,READY
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=7, social_published=0",5.0,30.0,0.0,38.2,100.0,0.0,64.0,0.0,READY
cbt-95d9a1b95440,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=3, affiliate_ctas=3, social_published=0",5.0,30.0,0.0,76.5,58.0,0.0,90.0,30.0,TECHNICAL_FIX
cbt-1005a037234b,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=11, social_published=0",5.0,30.0,0.0,51.0,100.0,0.0,52.0,10.0,READY
cbt-698862ce2129,https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=7, affiliate_ctas=8, social_published=0",5.0,30.0,0.0,21.2,100.0,0.0,71.0,0.0,READY
cbt-6f28480baea0,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=NOT_INDEXED, fact_issues=6, affiliate_ctas=3, social_published=3",0.0,10.0,10.0,68.0,58.0,0.0,74.0,0.0,READY
cbt-558f85f45e9a,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=Page with redirect, fact_issues=8, affiliate_ctas=10, social_published=0",0.0,0.0,0.0,68.0,100.0,0.0,64.0,0.0,READY
cbt-0897b4c56074,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=6, affiliate_ctas=8, social_published=0",5.0,30.0,0.0,21.2,96.0,0.0,73.0,10.0,READY
cbt-4e09fa4aa93d,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=Page with redirect, fact_issues=8, affiliate_ctas=4, social_published=0",0.0,0.0,0.0,68.0,70.0,0.0,69.0,0.0,READY
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,WATCH,WAIT,"impressions=0, pos=0.0, indexed=NOT_INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",0.0,10.0,0.0,68.0,90.0,0.0,57.0,20.0,WAIT
cbt-5479873d6104,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,WATCH,WAIT,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=0, affiliate_ctas=3, social_published=0",5.0,30.0,0.0,21.2,36.0,0.0,93.0,10.0,READY
cbt-bc3e1afe5dc0,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=0, social_published=0",5.0,30.0,0.0,38.2,0.0,0.0,66.0,0.0,READY
cbt-034b43ef5e3a,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=1, affiliate_ctas=0, social_published=0",5.0,30.0,0.0,21.2,0.0,0.0,88.0,0.0,READY
cbt-0adceab18b53,https://www.chinaboundtravel.com/posts/alipay-for-foreigners-guide/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=UNKNOWN, fact_issues=4, affiliate_ctas=0, social_published=0",0.0,0.0,0.0,72.2,0.0,0.0,80.0,0.0,READY
cbt-55aef784e6aa,https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=UNKNOWN, fact_issues=7, affiliate_ctas=0, social_published=0",0.0,0.0,0.0,76.5,0.0,0.0,71.0,0.0,READY
cbt-2b8c6981425b,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=5, affiliate_ctas=0, social_published=0",5.0,30.0,0.0,34.0,0.0,0.0,75.0,10.0,READY
cbt-0953b5433c00,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=1, affiliate_ctas=0, social_published=0",5.0,30.0,0.0,21.2,0.0,0.0,93.0,10.0,READY
cbt-067675763415,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=NOT_INDEXED, fact_issues=1, affiliate_ctas=0, social_published=0",0.0,10.0,0.0,51.0,0.0,0.0,83.0,0.0,READY
cbt-932a277b1899,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=0, social_published=0",5.0,30.0,0.0,21.2,0.0,0.0,73.0,0.0,READY
cbt-02a3e0d6ed4f,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=UNKNOWN, fact_issues=7, affiliate_ctas=0, social_published=0",0.0,0.0,0.0,68.0,0.0,0.0,75.0,0.0,READY
cbt-49088019c529,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=7, affiliate_ctas=0, social_published=0",5.0,30.0,0.0,21.2,0.0,0.0,71.0,0.0,READY
cbt-0bb1cb1e308d,https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=NOT_INDEXED, fact_issues=5, affiliate_ctas=0, social_published=0",0.0,10.0,0.0,38.2,0.0,0.0,80.0,0.0,READY
cbt-acae8a973429,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,WATCH,TECHNICAL_FIX,"impressions=0, pos=0.0, indexed=INDEXED, fact_issues=1, affiliate_ctas=0, social_published=0",5.0,30.0,0.0,34.0,0.0,0.0,89.0,40.0,TECHNICAL_FIX
cbt-74e8424894c4,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,WATCH,FACT_CHECK,"impressions=0, pos=0.0, indexed=Alternate page with proper canonical tag, fact_issues=8, affiliate_ctas=0, social_published=0",0.0,20.0,0.0,21.2,0.0,0.0,64.0,0.0,READY
