filename,slug,article_topic,cta_type,partner,location,intent_match,action
2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,7-day-china-itinerary-beijing-xian-shanghai-first-timers,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,7-day-china-itinerary-beijing-xian-shanghai-first-timers,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,7-day-china-itinerary-beijing-xian-shanghai-first-timers,Itinerary / Destination,eSIM,Airalo (eSIM),body,yes,kept
2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,7-day-china-itinerary-beijing-xian-shanghai-first-timers,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,hangzhou-west-lake-tea-culture-g20-guide,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,hangzhou-west-lake-tea-culture-g20-guide,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,hangzhou-west-lake-tea-culture-g20-guide,Itinerary / Destination,eSIM,Airalo (eSIM),body,yes,kept
2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,hangzhou-west-lake-tea-culture-g20-guide,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment,Safety,VPN,NordVPN (VPN),body,yes,kept
2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment,Safety,eSIM,Airalo (eSIM),body,yes,kept
2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment,Safety,Flight,Aviasales (Flights),body,yes,kept
2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment,Safety,Insurance,SafetyWing (Insurance),body,yes,kept
2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment,Safety,eSIM,Airalo (eSIM),body,yes,kept
2026-05-27-how-to-survive-chinese-train-station.md,2026-05-27-how-to-survive-chinese-train-station,High-speed rail / Transportation,eSIM,Airalo (eSIM),body,yes,kept
2026-05-27-how-to-survive-chinese-train-station.md,2026-05-27-how-to-survive-chinese-train-station,High-speed rail / Transportation,Insurance,SafetyWing (Insurance),body,yes,kept
2026-05-28-chinese-food-delivery-meituan-eleme-guide.md,chinese-food-delivery-meituan-eleme-guide,Food / Cuisine,Mid-content CTA (esim),Airalo (eSIM),body,yes,kept
2026-05-28-chinese-food-delivery-meituan-eleme-guide.md,chinese-food-delivery-meituan-eleme-guide,Food / Cuisine,eSIM,Airalo (eSIM),body,yes,kept
2026-05-28-chinese-food-delivery-meituan-eleme-guide.md,chinese-food-delivery-meituan-eleme-guide,Food / Cuisine,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-05-29-paypal-alipay-wechat-pay-qr-code-support.md,paypal-alipay-wechat-pay-qr-code-support,Payment (WeChat/Alipay),eSIM,Airalo (eSIM),body,yes,kept
2026-05-29-paypal-alipay-wechat-pay-qr-code-support.md,paypal-alipay-wechat-pay-qr-code-support,Payment (WeChat/Alipay),Insurance,SafetyWing (Insurance),body,yes,kept
2026-06-02-ultimate-guide-to-china-visa-for-tourists.md,ultimate-guide-to-china-visa-for-tourists,Visa / Visa-Free,Flight,Aviasales (Flights),body,yes,kept
2026-06-02-ultimate-guide-to-china-visa-for-tourists.md,ultimate-guide-to-china-visa-for-tourists,Visa / Visa-Free,Insurance,SafetyWing (Insurance),body,yes,kept
2026-06-02-ultimate-guide-to-china-visa-for-tourists.md,ultimate-guide-to-china-visa-for-tourists,Visa / Visa-Free,eSIM,Airalo (eSIM),body,yes,kept
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,Itinerary / Destination,Insurance,SafetyWing (Insurance),body,yes,kept
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,Itinerary / Destination,Hotel,Booking (Hotels),table,yes,kept
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,Itinerary / Destination,Flight,Aviasales (Flights),table,yes,kept
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,Itinerary / Destination,Insurance,SafetyWing (Insurance),table,yes,kept
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,Itinerary / Destination,eSIM,Airalo (eSIM),table,yes,kept
2026-06-22-chinese-tea-culture-history-types-and-tea-ceremony-guide.md,chinese-tea-culture-history-types-and-tea-ceremony-guide,Food / Cuisine,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-06-22-chinese-tea-culture-history-types-and-tea-ceremony-guide.md,chinese-tea-culture-history-types-and-tea-ceremony-guide,Food / Cuisine,Insurance,SafetyWing (Insurance),table,yes,kept
2026-06-22-chinese-tea-culture-history-types-and-tea-ceremony-guide.md,chinese-tea-culture-history-types-and-tea-ceremony-guide,Food / Cuisine,eSIM,Airalo (eSIM),table,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,Insurance,SafetyWing (Insurance),body,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,eSIM,Airalo (eSIM),body,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,Hotel,Booking (Hotels),table,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,Flight,Aviasales (Flights),table,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,Insurance,SafetyWing (Insurance),table,yes,kept
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,Itinerary / Destination,eSIM,Airalo (eSIM),table,yes,kept
2026-06-23-sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance.md,sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance,Food / Cuisine,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-06-23-sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance.md,sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance,Food / Cuisine,Insurance,SafetyWing (Insurance),table,yes,kept
2026-06-23-sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance.md,sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance,Food / Cuisine,eSIM,Airalo (eSIM),table,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,Insurance,SafetyWing (Insurance),body,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,eSIM,Airalo (eSIM),body,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,Hotel,Booking (Hotels),table,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,Flight,Aviasales (Flights),table,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,Insurance,SafetyWing (Insurance),table,yes,kept
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,Itinerary / Destination,eSIM,Airalo (eSIM),table,yes,kept
2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park,Itinerary / Destination,Insurance,SafetyWing (Insurance),body,yes,kept
2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park,Itinerary / Destination,eSIM,Airalo (eSIM),body,yes,kept
2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-07-01-chinabound-travel-guide-2026-07-monthly-update.md,chinabound-travel-guide-2026-07-monthly-update,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-07-01-chinabound-travel-guide-2026-07-monthly-update.md,chinabound-travel-guide-2026-07-monthly-update,Itinerary / Destination,Insurance,SafetyWing (Insurance),body,yes,kept
2026-07-01-chinabound-travel-guide-2026-07-monthly-update.md,chinabound-travel-guide-2026-07-monthly-update,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-07-01-chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls.md,chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls,Food / Cuisine,eSIM,Airalo (eSIM),body,yes,kept
2026-07-01-chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls.md,chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls,Food / Cuisine,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-07-02-how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026-guide.md,how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026,Payment (WeChat/Alipay),Insurance,SafetyWing (Insurance),table,yes,kept
2026-07-02-how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026-guide.md,how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026,Payment (WeChat/Alipay),eSIM,Airalo (eSIM),table,yes,kept
2026-07-02-wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide.md,wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide,Payment (WeChat/Alipay),Insurance,SafetyWing (Insurance),table,yes,kept
2026-07-02-wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide.md,wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide,Payment (WeChat/Alipay),eSIM,Airalo (eSIM),table,yes,kept
2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026,Itinerary / Destination,eSIM,Airalo (eSIM),body,yes,kept
2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-07-04-china-high-speed-train-survival-guide-booking-classes-and-insider-tips.md,china-high-speed-train-survival-guide-booking-classes-and-insider-tips,High-speed rail / Transportation,eSIM,Airalo (eSIM),body,yes,kept
2026-07-04-china-high-speed-train-survival-guide-booking-classes-and-insider-tips.md,china-high-speed-train-survival-guide-booking-classes-and-insider-tips,High-speed rail / Transportation,Insurance,SafetyWing (Insurance),body,yes,kept
2026-07-05-yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide.md,yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-07-05-yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide.md,yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-07-05-yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide.md,yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-07-06-a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers.md,a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers,Food / Cuisine,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-07-06-a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers.md,a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers,Food / Cuisine,Insurance,SafetyWing (Insurance),table,yes,kept
2026-07-06-a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers.md,a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers,Food / Cuisine,eSIM,Airalo (eSIM),table,yes,kept
2026-07-07-navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers.md,navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers,Hotel / Accommodation,Hotel,Booking (Hotels),body,yes,kept
2026-07-07-navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers.md,navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers,Hotel / Accommodation,Insurance,SafetyWing (Insurance),body,yes,kept
2026-07-07-navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers.md,navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers,Hotel / Accommodation,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-07-10-a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers.md,a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers,Food / Cuisine,Insurance,SafetyWing (Insurance),body,yes,kept
2026-07-10-a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers.md,a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers,Food / Cuisine,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-07-10-a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers.md,a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers,Food / Cuisine,eSIM,Airalo (eSIM),body,yes,kept
2026-07-12-navigating-chinas-transportation-a-californians-guide-for-european-travelers.md,navigating-chinas-transportation-a-californians-guide-for-european-travelers,High-speed rail / Transportation,Insurance,SafetyWing (Insurance),body,yes,kept
2026-07-12-navigating-chinas-transportation-a-californians-guide-for-european-travelers.md,navigating-chinas-transportation-a-californians-guide-for-european-travelers,High-speed rail / Transportation,eSIM,Airalo (eSIM),body,yes,kept
2026-07-13-navigating-china-with-confidence-a-californians-guide-to-travel-safety.md,navigating-china-with-confidence-a-californians-guide-to-travel-safety,Safety,Flight,Aviasales (Flights),body,yes,kept
2026-07-13-navigating-china-with-confidence-a-californians-guide-to-travel-safety.md,navigating-china-with-confidence-a-californians-guide-to-travel-safety,Safety,Insurance,SafetyWing (Insurance),body,yes,kept
2026-07-13-navigating-china-with-confidence-a-californians-guide-to-travel-safety.md,navigating-china-with-confidence-a-californians-guide-to-travel-safety,Safety,eSIM,Airalo (eSIM),body,yes,kept
2026-07-14-transportation-guide-guide.md,transportation-guide,High-speed rail / Transportation,Insurance,SafetyWing (Insurance),body,yes,kept
2026-07-14-transportation-guide-guide.md,transportation-guide,High-speed rail / Transportation,eSIM,Airalo (eSIM),body,yes,kept
2026-07-16-china-transportation-complete-guide-trains-subways-taxis-and-more.md,2026-07-16-china-transportation-complete-guide-trains-subways-taxis-and-more,High-speed rail / Transportation,Mid-content CTA (trip),Trip.com (Trains),body,yes,kept
2026-07-16-china-transportation-complete-guide-trains-subways-taxis-and-more.md,2026-07-16-china-transportation-complete-guide-trains-subways-taxis-and-more,High-speed rail / Transportation,eSIM,Airalo (eSIM),body,yes,kept
2026-07-16-food-recommendations-guide.md,food-recommendations-guide,Food / Cuisine,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-07-16-food-recommendations-guide.md,food-recommendations-guide,Food / Cuisine,Insurance,SafetyWing (Insurance),table,yes,kept
2026-07-16-food-recommendations-guide.md,food-recommendations-guide,Food / Cuisine,eSIM,Airalo (eSIM),table,yes,kept
2026-07-16-is-china-safe-for-tourists-2026-honest-safety-assessment.md,2026-07-16-is-china-safe-for-tourists-2026-honest-safety-assessment,Safety,Flight,Aviasales (Flights),body,yes,kept
2026-07-16-is-china-safe-for-tourists-2026-honest-safety-assessment.md,2026-07-16-is-china-safe-for-tourists-2026-honest-safety-assessment,Safety,Insurance,SafetyWing (Insurance),body,yes,kept
2026-07-16-is-china-safe-for-tourists-2026-honest-safety-assessment.md,2026-07-16-is-china-safe-for-tourists-2026-honest-safety-assessment,Safety,eSIM,Airalo (eSIM),body,yes,kept
2026-07-20-travel-safety-guide.md,travel-safety-guide,Safety,Flight,Aviasales (Flights),body,yes,kept
2026-07-20-travel-safety-guide.md,travel-safety-guide,Safety,Insurance,SafetyWing (Insurance),body,yes,kept
2026-07-20-travel-safety-guide.md,travel-safety-guide,Safety,eSIM,Airalo (eSIM),body,yes,kept
2026-07-27-accommodation-tips-guide.md,accommodation-tips-guide,Hotel / Accommodation,Hotel,Booking (Hotels),body,yes,kept
2026-07-27-accommodation-tips-guide.md,accommodation-tips-guide,Hotel / Accommodation,Hotel,Booking (Hotels),table,yes,kept
2026-07-27-accommodation-tips-guide.md,accommodation-tips-guide,Hotel / Accommodation,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-07-27-accommodation-tips-guide.md,accommodation-tips-guide,Hotel / Accommodation,Insurance,SafetyWing (Insurance),table,yes,kept
2026-07-27-accommodation-tips-guide.md,accommodation-tips-guide,Hotel / Accommodation,eSIM,Airalo (eSIM),table,yes,kept
2026-07-31-china-remote-work-guide-a-californians-5-year-chengdu-experience.md,china-remote-work-guide-a-californians-5-year-chengdu-experience,Business Travel / Remote Work,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-07-31-china-remote-work-guide-a-californians-5-year-chengdu-experience.md,china-remote-work-guide-a-californians-5-year-chengdu-experience,Business Travel / Remote Work,Hotel,Booking (Hotels),table,yes,kept
2026-07-31-china-remote-work-guide-a-californians-5-year-chengdu-experience.md,china-remote-work-guide-a-californians-5-year-chengdu-experience,Business Travel / Remote Work,Flight,Aviasales (Flights),table,yes,kept
2026-07-31-china-remote-work-guide-a-californians-5-year-chengdu-experience.md,china-remote-work-guide-a-californians-5-year-chengdu-experience,Business Travel / Remote Work,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-07-31-china-remote-work-guide-a-californians-5-year-chengdu-experience.md,china-remote-work-guide-a-californians-5-year-chengdu-experience,Business Travel / Remote Work,Insurance,SafetyWing (Insurance),table,yes,kept
2026-07-31-china-remote-work-guide-a-californians-5-year-chengdu-experience.md,china-remote-work-guide-a-californians-5-year-chengdu-experience,Business Travel / Remote Work,eSIM,Airalo (eSIM),table,yes,kept
2026-08-01-china-photography-guide-capturing-the-wonders-of-the-middle-kingdom.md,china-photography-guide-capturing-the-wonders-of-the-middle-kingdom,Photography,Flight,Aviasales (Flights),table,yes,kept
2026-08-01-china-photography-guide-capturing-the-wonders-of-the-middle-kingdom.md,china-photography-guide-capturing-the-wonders-of-the-middle-kingdom,Photography,Insurance,SafetyWing (Insurance),table,yes,kept
2026-08-01-china-photography-guide-capturing-the-wonders-of-the-middle-kingdom.md,china-photography-guide-capturing-the-wonders-of-the-middle-kingdom,Photography,eSIM,Airalo (eSIM),table,yes,kept
2026-08-01-chinabound-travel-guide-2026-08-monthly-update.md,chinabound-travel-guide-2026-08-monthly-update,Itinerary / Destination,Hotel,Booking (Hotels),table,yes,kept
2026-08-01-chinabound-travel-guide-2026-08-monthly-update.md,chinabound-travel-guide-2026-08-monthly-update,Itinerary / Destination,Flight,Aviasales (Flights),table,yes,kept
