filename,slug,url,title,indexed,total_impressions,total_clicks,keyword_count,best_position,avg_position,search_intent,title_score,h1_score,first_para_score,internal_link_count,affiliate_cta_count,commercial_value,grade,notes
2026-07-04-china-high-speed-train-survival-guide-booking-classes-and-insider-tips.md,china-high-speed-train-survival-guide-booking-classes-and-insider-tips,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,China High-Speed Trains: Booking & Tips,False,0,0,0,N/A,N/A,transactional,8,8,9,9,5,10,D,no GSC data
china-airport-transfer-guide.md,china-airport-transfer-guide,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,China Airport Transfer Guide (2026),False,0,0,0,N/A,N/A,transactional,8,8,9,4,7,10,D,no GSC data
2026-05-27-how-to-survive-chinese-train-station.md,how-to-survive-chinese-train-station,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,Chinese Train Stations: Survival Guide for,False,0,0,0,N/A,N/A,transactional,9,9,9,5,3,9,D,no GSC data
internet-connection-china-esim-vpn-guide.md,internet-connection-china-esim-vpn-guide,https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,Internet in China: eSIM vs SIM vs VPN (2026),False,0,0,0,N/A,N/A,transactional,9,9,9,8,1,9,D,no GSC data
2026-07-07-navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers.md,navigating-chinas-accommodation-maze-a-californians-guide-for-aussie-and-kiwi-travelers,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,Where to Stay in China: Hotels & Budget,False,0,0,0,N/A,N/A,transactional,8,8,9,3,6,10,D,no GSC data
2026-07-12-navigating-chinas-transportation-a-californians-guide-for-european-travelers.md,navigating-chinas-transportation-a-californians-guide-for-european-travelers,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,China Transportation Guide for European,False,0,0,0,N/A,N/A,commercial_investigational,8,8,8,3,2,9,D,no GSC data
2026-07-14-transportation-guide-guide.md,transportation-guide,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,"China Transportation Guide: Trains, Subways",False,0,0,0,N/A,N/A,commercial_investigational,9,9,8,2,2,9,D,no GSC data
2026-08-10-chinas-food-through-the-ages-guide.md,chinas-food-through-the-ages-guide,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,How Chinese Food Evolved: 2 Million Years,False,0,0,0,N/A,N/A,informational,9,9,9,2,3,8,D,no GSC data
2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,Guilin & Yangshuo: Complete 2026 Travel Guide,False,0,0,0,N/A,N/A,transactional,9,9,9,16,4,9,D,no GSC data
2026-07-13-navigating-china-with-confidence-a-californians-guide-to-travel-safety.md,navigating-china-with-confidence-a-californians-guide-to-travel-safety,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,Is China Safe in 2026? Honest Guide,False,0,0,0,N/A,N/A,commercial_investigational,8,8,8,4,4,7,D,no GSC data
2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,is-china-safe-for-tourists-2026-honest-assessment,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-assessment/,Is China Safe for Tourists in 2026? Honest,False,0,0,0,N/A,N/A,informational,9,9,7,8,3,7,D,no GSC data
2026-07-01-chinabound-travel-guide-2026-07-monthly-update.md,chinabound-travel-guide-2026-07-monthly-update,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,China Travel Guide: July 2026 Updates,False,0,0,0,N/A,N/A,commercial,8,8,9,2,7,10,E,"Monthly update - low evergreen SEO value, consider merging"
2026-07-27-accommodation-tips-guide.md,accommodation-tips-guide,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,Where to Stay in China: Complete 2026 Guide,False,0,0,0,N/A,N/A,transactional,9,9,9,8,6,7,D,no GSC data
western-sichuan-overland-camping-route.md,western-sichuan-overland-camping-route,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,Western Sichuan Overland Camping: 7-Day Route,False,0,0,0,N/A,N/A,commercial_investigational,9,9,10,10,7,8,D,no GSC data
2026-07-10-a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers.md,a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,China Food Guide: Must-Try Dishes &,False,0,0,0,N/A,N/A,commercial_investigational,8,8,8,3,6,7,D,no GSC data
2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,hangzhou-west-lake-tea-culture-g20-guide,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,Hangzhou Travel Guide: West Lake & Tea,False,0,0,0,N/A,N/A,commercial_investigational,8,8,10,6,4,6,D,no GSC data
2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,Zhangjiajie Guide: Avatar Mountains,False,0,0,0,N/A,N/A,transactional,8,8,8,17,5,6,D,no GSC data
2026-07-01-chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls.md,chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,Chinese Street Food: Night Markets Guide,False,0,0,0,N/A,N/A,commercial_investigational,9,9,9,10,6,6,D,no GSC data
2026-07-06-a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers.md,a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,China Food Guide for European Travelers,False,0,0,0,N/A,N/A,commercial_investigational,8,8,9,18,4,6,D,no GSC data
2026-07-16-food-recommendations-guide.md,food-recommendations-guide,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,China Food Guide 2026: What to Eat & Where,False,0,0,0,N/A,N/A,commercial_investigational,9,9,8,9,4,6,D,no GSC data
2026-07-23-foodies-guide-to-china-a-gastronomic-adventure.md,foodies-guide-to-china-a-gastronomic-adventure,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,Foodie's Guide to China: Dishes You Must Try,False,0,0,0,N/A,N/A,commercial_investigational,9,9,8,2,4,6,D,no GSC data
2026-08-01-china-photography-guide-capturing-the-wonders-of-the-middle-kingdom.md,china-photography-guide-capturing-the-wonders-of-the-middle-kingdom,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,China Photography Guide: Top Spots & Tips,False,0,0,0,N/A,N/A,commercial_investigational,9,9,6,15,5,6,D,no GSC data
2026-08-07-china-bargaining-and-shopping-guide.md,china-bargaining-and-shopping-guide,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,China Bargaining Guide: How to Haggle & Shop,False,0,0,0,N/A,N/A,commercial_investigational,9,9,8,8,3,6,D,no GSC data
2026-07-22-cultural-etiquette-guide.md,cultural-etiquette-guide-aussie-kiwi,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,China Etiquette Guide for Aussie & Kiwi,False,0,0,0,N/A,N/A,commercial_investigational,8,8,9,2,4,5,D,no GSC data
2026-08-03-chinese-language-survival-phrases-guide.md,chinese-language-survival-phrases-guide,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,Chinese Language Survival Phrases Guide 2026,False,0,0,0,N/A,N/A,commercial_investigational,9,9,9,10,4,5,D,no GSC data
2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,dude-wheres-my-panda-a-beijing-guys-guide-to-the-c,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,Chengdu Panda Base: See Pandas Like a Local,False,0,0,0,N/A,N/A,transactional,9,9,9,7,6,10,D,no GSC data
2026-06-30-xian-terracotta-army-history-discovery-and-insider-tips.md,xian-terracotta-army-history-discovery-and-insider-tips,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,Xi'an Terracotta Army: Tickets & History,False,0,0,0,N/A,N/A,transactional,9,9,9,17,11,9,D,no GSC data
2026-07-05-yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide.md,yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,Yunnan Travel: Rice Terraces & Ancient Towns,False,0,0,0,N/A,N/A,transactional,9,9,9,10,4,9,D,no GSC data
2026-05-25-shanghai-bund-french-concession-2-day-guide.md,shanghai-bund-french-concession-2-day-guide,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,Shanghai 48-Hour: Bund & French Concession,False,0,0,0,N/A,N/A,informational,9,9,10,7,4,6,D,no GSC data
2026-05-28-chinese-food-delivery-meituan-eleme-guide.md,chinese-food-delivery-meituan-eleme-guide,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,Chinese Food Delivery 2026: Meituan & Ele.me,False,0,0,0,N/A,N/A,commercial_investigational,9,9,10,7,4,6,D,no GSC data
2026-06-19-the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide.md,the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,Great Wall of China: History & Hidden Secrets,False,0,0,0,N/A,N/A,informational,9,9,10,14,10,6,D,no GSC data
2026-06-23-sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance.md,sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,Sichuan Hotpot: History & Best Restaurants,False,0,0,0,N/A,N/A,transactional,9,9,9,15,4,6,D,no GSC data
2026-08-09-china-packing-list-2026-what-to-bring-and-what-to-leave-at-home.md,china-packing-list-2026-what-to-bring-and-what-to-leave-at-home,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,China Packing List 2026: What to Bring,False,0,0,0,N/A,N/A,informational,8,8,9,5,3,6,D,no GSC data
2026-08-10-shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide.md,shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,Shanghai vs Beijing: Which to Visit First,False,0,0,0,N/A,N/A,transactional,9,9,9,2,3,6,D,no GSC data
2026-06-22-chinese-tea-culture-history-types-and-tea-ceremony-guide.md,chinese-tea-culture-history-types-and-tea-ceremony-guide,https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,Chinese Tea Culture: History & Types,False,0,0,0,N/A,N/A,informational,8,8,8,11,4,5,D,no GSC data
2026-08-12-china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide.md,china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide,https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,China National Parks: Zhangjiajie &,False,0,0,0,N/A,N/A,commercial_investigational,8,8,9,4,3,5,D,no GSC data
2026-07-21-cultural-etiquette-guide.md,cultural-etiquette-guide,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,China Cultural Etiquette: Dos and Don'ts,False,0,0,0,N/A,N/A,commercial_investigational,9,9,9,2,4,6,D,no GSC data
2026-07-16-china-transportation-complete-guide-trains-subways-taxis-and-more.md,china-transportation-complete-guide-trains-subways-taxis-and-more,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,,False,0,0,0,N/A,N/A,informational,2,2,6,13,4,3,D,no GSC data
2026-07-16-is-china-safe-for-tourists-2026-honest-safety-assessment.md,is-china-safe-for-tourists-2026-honest-safety-assessment,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,,False,0,0,0,N/A,N/A,informational,2,2,6,9,3,3,D,no GSC data
2026-08-11-chinese-tea-culture-where-to-experience-authentic-teahouses.md,chinese-tea-culture-where-to-experience-authentic-teahouses,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,Chinese Tea Culture: Authentic Teahouses,False,0,0,0,N/A,N/A,informational,9,9,9,3,1,3,D,no GSC data
best-travel-insurance-china.md,best-travel-insurance-china,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,,False,0,0,0,N/A,N/A,informational,2,2,6,5,4,3,D,no GSC data
2026-09-01-chinabound-travel-guide-2026-09-monthly-update.md,chinabound-travel-guide-2026-09-monthly-update,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-09-monthly-update/,ChinaBound Travel Guide 2026.09 Update,False,0,0,0,N/A,N/A,commercial_investigational,8,8,10,1,0,1,E,"Monthly update - low evergreen SEO value, consider merging"
2026-08-31-china-travel-etiquette-tipping-photos-and-unwritten-rules-guide.md,china-travel-etiquette-tipping-photos-and-unwritten-rules-guide,https://www.chinaboundtravel.com/posts/china-travel-etiquette-tipping-photos-and-unwritten-rules-guide/,China Travel Etiquette: Tipping & Photos,False,0,0,0,N/A,N/A,commercial_investigational,9,9,9,0,0,1,D,no GSC data
