content_id,title,url,section,published_date,clicks_28d,impressions_28d,ctr_28d,position_28d,indexed_status
cbt-74e8424894c4,China Bargaining Guide: How to Haggle & Shop,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,posts,2026-08-07,0,0,0.0,0.0,Alternate page with proper canonical tag
cbt-932a277b1899,China Packing List 2026: What to Bring,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,posts,2026-08-09,0,0,0.0,0.0,INDEXED
cbt-067675763415,How Chinese Food Evolved: 2 Million Years of History,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,posts,2026-08-10,0,0,0.0,0.0,NOT_INDEXED
cbt-bc3e1afe5dc0,Shanghai Vs Beijing: Which Chinese City Should You Visit First? Guide,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,posts,2026-08-10,0,0,0.0,0.0,INDEXED
cbt-034b43ef5e3a,Chinese Tea Culture: Where to Experience Authentic Teahouses,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,posts,2026-08-11,0,0,0.0,0.0,INDEXED
cbt-0bb1cb1e308d,"China National Parks: Zhangjiajie, Jiuzhaigou, And Beyond Guide",https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,posts,2026-08-12,0,0,0.0,0.0,NOT_INDEXED
cbt-0adceab18b53,Alipay for Foreigners in China: Setup Guide and Payment Tips (2026),https://www.chinaboundtravel.com/posts/alipay-for-foreigners-guide/,posts,2026-08-16,0,0,0.0,0.0,UNKNOWN
cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,posts,2026-05-19,0,0,0.0,0.0,INDEXED
cbt-d701fb08eb7b,Best Travel Insurance for China 2026,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,posts,2026-06-21,0,0,0.0,0.0,INDEXED
cbt-02a3e0d6ed4f,China Airport Transfer Guide (2026): From Airports to City Centers,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,posts,2026-08-16,0,0,0.0,0.0,UNKNOWN
cbt-244822dc113b,China's 144-Hour Visa-Free Transit: 15 New Countries,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,posts,2026-06-02,0,87,0.0,41.87,INDEXED
cbt-55aef784e6aa,"China Transportation Card Guide (2026): Metro Cards, Transit Apps & Payment Options for Foreign Travelers",https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,posts,2026-08-16,0,0,0.0,0.0,UNKNOWN
cbt-a349eee78670,Internet in China: eSIM vs SIM vs VPN (2026),https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,posts,2026-05-19,0,0,0.0,0.0,INDEXED
cbt-80f6c218ad94,Western Sichuan Overland Camping Route: 7 Days,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,posts,2026-06-02,1,26,0.038462,19.31,INDEXED
