priority,content_id,title,url,impressions_28d,clicks_28d,position_28d,indexed_status,canonical_conflict,commercial_intent,opportunity_tier,legacy_hits,duplicate_count,execution_risk,recovery_score
P1,cbt-bfeaa5ca9007,China Photography Guide: Best Spots & Tips,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,51,0,20.88,INDEXED,NO,TRAVEL_GUIDE,C,0,1,LOW,64.7
P1,cbt-23c31fe5b281,Yunnan Travel Guide: Rice Terraces & Ancient Towns,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,40,0,20.7,INDEXED,NO,TRAVEL_GUIDE,C,0,1,LOW,54.0
P1,cbt-80f6c218ad94,Western Sichuan Overland Camping Route: 7 Days,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,26,1,19.31,INDEXED,NO,CITY,C,0,1,LOW,42.0
P1,cbt-bf4ec5e57a07,Guilin & Yangshuo: Complete 2026 Travel Guide,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,24,0,18.88,INDEXED,NO,CITY,C,0,1,LOW,40.7
P1,cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,11,0,11.09,INDEXED,NO,CITY,C,0,1,LOW,39.4
P1,cbt-34777b6c17c1,Zhangjiajie Guide: Avatar Mountains & Itinerary,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,20,0,27.0,INDEXED,NO,CITY,C,0,1,LOW,24.5
P1,cbt-cfd5d7b39f09,Chinese Language Survival Phrases Guide 2026,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,11,0,27.45,INDEXED,NO,TRAVEL_GUIDE,C,0,1,LOW,14.8
P1,cbt-550a6e3e929c,Sichuan Hotpot Guide: History & Best Restaurants,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,11,0,37.18,INDEXED,NO,CITY,C,0,1,LOW,11
P1,cbt-9e2f5ffa1b6d,Where to Stay in China: Hotels & Budget Options,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,17,0,48.06,INDEXED,NO,TRAVEL_GUIDE,C,0,2,LOW,9
P1,cbt-baa2f6fba2f0,Where to Stay in China: Complete 2026 Guide,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,17,0,48.06,INDEXED,NO,TRAVEL_GUIDE,C,0,2,LOW,9
P2,cbt-d7747b73c978,"Xi'an Terracotta Army: Tickets, Tips & History",https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,1,0,5.0,INDEXED,NO,TRANSPORT,B,2,1,LOW,61.5
P2,cbt-663ab3f3b0fa,Shanghai Beyond the Bund: Hidden Neighborhoods,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,2,1,16.0,INDEXED,NO,CITY,C,1,1,LOW,27.0
P2,cbt-a349eee78670,Internet in China: eSIM vs SIM vs VPN (2026),https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,0,0,0.0,INDEXED,NO,INTERNET,C,2,1,LOW,23
P2,cbt-abb64a856c29,PayPal + Alipay + WeChat Pay: What It Means for You,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,0,0,0.0,INDEXED,NO,PAYMENT,C,1,1,LOW,19
P2,cbt-c59607760fee,Chinese Street Food: Night Markets & What to Eat,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,6,0,27.0,INDEXED,NO,TRAVEL_GUIDE,C,2,1,LOW,18.5
P2,cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,1,0,49.0,INDEXED,NO,CITY,C,2,1,LOW,9
P2,cbt-575e18482ca0,China Just Made It WAY Easier to Visit (My Mother-in-Law is STOKED),https://www.chinaboundtravel.com/posts/china-just-made-it-way-easier-to-visit-my-mother-i/,0,0,0.0,NOT_INDEXED,NO,TRAVEL_GUIDE,D,2,1,LOW,5
P2,cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,0,0,0.0,INDEXED,NO,CITY,D,1,1,LOW,4
P2,cbt-698862ce2129,"Chinese Tea Culture: History, Types & Ceremony",https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,1,1,LOW,4
P2,cbt-74e8424894c4,China Bargaining Guide: How to Haggle & Shop,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,0,0,0.0,Alternate page with proper canonical tag,NO,TRAVEL_GUIDE,D,1,1,LOW,4
P2,cbt-034b43ef5e3a,Chinese Tea Culture: Where to Experience Authentic Teahouses,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,1,1,LOW,4
P2,cbt-d701fb08eb7b,Best Travel Insurance for China 2026,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,1,1,LOW,4
P2,cbt-407090802298,Shanghai Like a Local  Hidden Neighborhoods Tourists Never Find,https://www.chinaboundtravel.com/posts/shanghai-like-a-local-hidden-neighborhoods-tourist/,0,0,0.0,NOT_INDEXED,NO,CITY,D,1,1,LOW,1
P2,cbt-067675763415,How Chinese Food Evolved: 2 Million Years of History,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,0,0,0.0,NOT_INDEXED,NO,TRAVEL_GUIDE,D,1,1,LOW,1
P2,cbt-0bb1cb1e308d,"China National Parks: Zhangjiajie, Jiuzhaigou, And Beyond Guide",https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,0,0,0.0,NOT_INDEXED,NO,CITY,D,1,1,LOW,1
P2,cbt-0953b5433c00,China Cultural Etiquette Guide: Dos and Don'ts,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,1,2,LOW,-4
P2,cbt-2b8c6981425b,China Etiquette Guide for Aussie & Kiwi Travelers,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,1,2,LOW,-4
P2,cbt-57d0b0208d3b,Is China Safe in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,7,0,42.14,INDEXED,NO,TRAVEL_GUIDE,C,1,3,LOW,-5
P2,cbt-7996811c1d23,Is China Safe for Tourists in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,7,0,42.14,INDEXED,NO,TRAVEL_GUIDE,C,1,3,LOW,-5
P2,cbt-dfe3904705ea,China Travel Safety 2026: Guide for Travelers,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,7,0,42.14,INDEXED,NO,TRAVEL_GUIDE,C,1,3,LOW,-5
P2,cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,2,4,LOW,-16
P2,cbt-5479873d6104,China Food Guide: Must-Try Dishes & Restaurants,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,2,4,LOW,-16
P2,cbt-0897b4c56074,China Food Guide 2026: What to Eat & Where,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,2,4,LOW,-16
P2,cbt-acae8a973429,Foodie's Guide to China: Dishes You Must Try,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,2,4,LOW,-16
P3,cbt-ae69cb9f84b0,How to Use Alipay as a Foreigner (2026),https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,1,0,64.0,INDEXED,NO,PAYMENT,C,0,1,LOW,16
P3,cbt-73f33c49bc51,China Tourist Visa Guide: How to Apply in 2026,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,0,0,0.0,INDEXED,NO,VISA,C,0,1,LOW,15
P3,cbt-558f85f45e9a,Great Wall of China: History Beyond the Tourist Trail,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,0,0,0.0,Page with redirect,NO,TRANSPORT,D,0,1,LOW,15
P3,cbt-4e09fa4aa93d,China High-Speed Trains: Booking & Insider Tips,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,0,0,0.0,Page with redirect,NO,TRANSPORT,D,0,1,LOW,15
P3,cbt-0adceab18b53,Alipay for Foreigners in China: Setup Guide and Payment Tips (2026),https://www.chinaboundtravel.com/posts/alipay-for-foreigners-guide/,0,0,0.0,UNKNOWN,NO,PAYMENT,D,0,1,LOW,15
P3,cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,0,0,0.0,INDEXED,NO,PAYMENT,C,0,1,LOW,15
P3,cbt-02a3e0d6ed4f,China Airport Transfer Guide (2026): From Airports to City Centers,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,0,0,0.0,UNKNOWN,NO,TRANSPORT,D,0,1,LOW,15
P3,cbt-55aef784e6aa,"China Transportation Card Guide (2026): Metro Cards, Transit Apps & Payment Options for Foreign Travelers",https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,0,0,0.0,UNKNOWN,NO,VISA,D,0,1,LOW,15
P3,cbt-6f28480baea0,Chinese Train Stations: Survival Guide for Travelers,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,0,0,0.0,NOT_INDEXED,NO,TRANSPORT,D,0,1,LOW,12
P3,cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/2026-05-26-is-china-safe-for-tourists-2026-honest-assessment/,3,0,87.33,INDEXED,NO,TRAVEL_GUIDE,C,0,1,LOW,3
P3,cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi'an & Shanghai",https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,0,0,0.0,INDEXED,NO,CITY,D,0,1,LOW,0
P3,cbt-92448be1e0ca,China Remote Work Guide: 5 Years in Chengdu,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,0,0,0.0,INDEXED,NO,CITY,D,0,1,LOW,0
P3,cbt-49088019c529,China Family Travel Tips: Guide & Mistakes to Avoid,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,0,1,LOW,0
P3,cbt-932a277b1899,China Packing List 2026: What to Bring,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,0,0,0.0,INDEXED,NO,TRAVEL_GUIDE,D,0,1,LOW,0
P3,cbt-bc3e1afe5dc0,Shanghai Vs Beijing: Which Chinese City Should You Visit First? Guide,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,0,0,0.0,INDEXED,NO,CITY,D,0,1,LOW,0
P3,cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,0,0,0.0,NOT_INDEXED,NO,TRANSPORT,D,0,1,HIGH(frozen),-13
