content_id,title,url,section,published_date,duplicate_count,is_primary,indexed_status,clicks_28d,impressions_28d,ctr_28d,avg_position,query_count,business_intent,business_value,indexing_score,demand_score,performance_score,business_score,gap_score,opportunity_score,opportunity_tier,primary_action,reason
cbt-663ab3f3b0fa,Shanghai Beyond the Bund: Hidden Neighborhoods,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,posts,2026-06-22,1,True,INDEXED,1,2,0.5,16.0,0,CITY,MEDIUM,20,10,14,12,0,56,C,CONTENT_EXPANSION,monitor
cbt-80ac63165adb,China Travel Guide: August 2026 Update,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,posts,2026-08-01,1,True,INDEXED,0,52,0.0,11.4,0,TRAVEL_GUIDE,MEDIUM,20,15,8,12,0,55,C,CONTENT_EXPANSION,near page 1 (pos 11.4)
cbt-9e2f5ffa1b6d,Where to Stay in China: Hotels & Budget Options,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,posts,2026-07-07,2,False,INDEXED,0,17,0.0,48.06,8,TRAVEL_GUIDE,MEDIUM,20,10,4,12,6,52,C,INTERNAL_LINK,8 queries point to this page
cbt-baa2f6fba2f0,Where to Stay in China: Complete 2026 Guide,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,posts,2026-07-27,2,True,INDEXED,0,17,0.0,48.06,8,TRAVEL_GUIDE,MEDIUM,20,10,4,12,6,52,C,INTERNAL_LINK,8 queries point to this page
cbt-ae69cb9f84b0,How to Use Alipay as a Foreigner (2026),https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,posts,2026-07-02,1,True,INDEXED,0,1,0.0,64.0,1,PAYMENT,HIGH,20,10,2,20,0,52,C,CONTENT_EXPANSION,high commercial intent
cbt-bf4ec5e57a07,Guilin & Yangshuo: Complete 2026 Travel Guide,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,posts,2026-07-03,1,True,INDEXED,0,24,0.0,18.88,0,CITY,MEDIUM,20,10,8,12,0,50,C,CONTENT_EXPANSION,monitor
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,posts,2026-05-24,1,True,INDEXED,0,11,0.0,11.09,0,CITY,MEDIUM,20,10,8,12,0,50,C,CONTENT_EXPANSION,monitor
cbt-23c31fe5b281,Yunnan Travel Guide: Rice Terraces & Ancient Towns,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,posts,2026-07-05,1,True,INDEXED,0,40,0.0,20.7,1,TRAVEL_GUIDE,MEDIUM,20,10,4,12,0,46,C,CONTENT_EXPANSION,monitor
cbt-34777b6c17c1,Zhangjiajie Guide: Avatar Mountains & Itinerary,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,posts,2026-06-30,1,True,INDEXED,0,20,0.0,27.0,1,CITY,MEDIUM,20,10,4,12,0,46,C,CONTENT_EXPANSION,monitor
cbt-cfd5d7b39f09,Chinese Language Survival Phrases Guide 2026,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,posts,2026-08-03,1,True,INDEXED,0,11,0.0,27.45,0,TRAVEL_GUIDE,MEDIUM,20,10,4,12,0,46,C,CONTENT_EXPANSION,monitor
cbt-550a6e3e929c,Sichuan Hotpot Guide: History & Best Restaurants,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,posts,2026-06-23,1,True,INDEXED,0,11,0.0,37.18,0,CITY,MEDIUM,20,10,4,12,0,46,C,CONTENT_EXPANSION,monitor
cbt-57d0b0208d3b,Is China Safe in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,posts,2026-07-13,3,False,INDEXED,0,7,0.0,42.14,0,TRAVEL_GUIDE,MEDIUM,20,10,4,12,0,46,C,CONTENT_EXPANSION,monitor
cbt-7996811c1d23,Is China Safe for Tourists in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,posts,2026-07-16,3,False,INDEXED,0,7,0.0,42.14,0,TRAVEL_GUIDE,MEDIUM,20,10,4,12,0,46,C,CONTENT_EXPANSION,monitor
cbt-dfe3904705ea,China Travel Safety 2026: Guide for Travelers,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,posts,2026-07-20,3,True,INDEXED,0,7,0.0,42.14,0,TRAVEL_GUIDE,MEDIUM,20,10,4,12,0,46,C,CONTENT_EXPANSION,monitor
cbt-c59607760fee,Chinese Street Food: Night Markets & What to Eat,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,posts,2026-07-01,1,True,INDEXED,0,6,0.0,27.0,0,TRAVEL_GUIDE,MEDIUM,20,10,4,12,0,46,C,CONTENT_EXPANSION,monitor
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,posts,2026-05-23,1,True,INDEXED,0,1,0.0,49.0,0,CITY,MEDIUM,20,10,4,12,0,46,C,CONTENT_EXPANSION,monitor
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/2026-05-26-is-china-safe-for-tourists-2026-honest-assessment/,posts,2026-05-27,1,True,INDEXED,0,3,0.0,87.33,0,TRAVEL_GUIDE,MEDIUM,20,10,2,12,0,44,C,CONTENT_EXPANSION,monitor
cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,posts,2026-05-19,1,True,INDEXED,0,0,0.0,0.0,0,PAYMENT,HIGH,20,0,0,20,0,40,C,MONITOR,high commercial intent
cbt-95d9a1b95440,China Travel Guide: July 2026 Updates & Visa Rules,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,posts,2026-07-01,1,True,INDEXED,0,0,0.0,0.0,0,VISA,HIGH,20,0,0,20,0,40,C,MONITOR,high commercial intent
cbt-a349eee78670,Internet in China: eSIM vs SIM vs VPN (2026),https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,posts,2026-05-19,1,True,INDEXED,0,0,0.0,0.0,0,INTERNET,HIGH,20,0,0,20,0,40,C,MONITOR,high commercial intent
cbt-abb64a856c29,PayPal + Alipay + WeChat Pay: What It Means for You,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,posts,2026-05-29,1,True,INDEXED,0,0,0.0,0.0,0,PAYMENT,HIGH,20,0,0,20,0,40,C,MONITOR,high commercial intent
cbt-73f33c49bc51,China Tourist Visa Guide: How to Apply in 2026,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,posts,2026-06-02,1,True,INDEXED,0,0,0.0,0.0,0,VISA,HIGH,20,0,0,20,0,40,C,MONITOR,high commercial intent
cbt-255af4ed003a,How to Set Up & Use WeChat Pay Step by Step (2026 Guide),https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,posts,2026-07-02,1,True,Alternate page with proper canonical tag,0,1,0.0,11.0,0,PAYMENT,HIGH,0,10,8,20,0,38,D,INDEX_FIX,not indexed; high commercial intent
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi'an & Shanghai",https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,posts,2026-05-27,1,True,INDEXED,0,0,0.0,0.0,0,CITY,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-d701fb08eb7b,Best Travel Insurance for China 2026,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,posts,2026-06-21,1,True,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-49088019c529,China Family Travel Tips: Guide & Mistakes to Avoid,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,posts,2026-08-05,1,True,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-932a277b1899,China Packing List 2026: What to Bring,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,posts,2026-08-09,1,True,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-92448be1e0ca,China Remote Work Guide: 5 Years in Chengdu,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,posts,2026-07-31,1,True,INDEXED,0,0,0.0,0.0,0,CITY,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-698862ce2129,"Chinese Tea Culture: History, Types & Ceremony",https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,posts,2026-06-22,1,True,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-034b43ef5e3a,Chinese Tea Culture: Where to Experience Authentic Teahouses,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,posts,2026-08-11,1,True,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-0953b5433c00,China Cultural Etiquette Guide: Dos and Don'ts,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,posts,2026-07-21,2,False,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-2b8c6981425b,China Etiquette Guide for Aussie & Kiwi Travelers,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,posts,2026-07-22,2,True,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,posts,2026-06-02,1,True,INDEXED,0,0,0.0,0.0,0,CITY,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,posts,2026-07-06,4,False,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-5479873d6104,China Food Guide: Must-Try Dishes & Restaurants,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,posts,2026-07-10,4,False,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-0897b4c56074,China Food Guide 2026: What to Eat & Where,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,posts,2026-07-16,4,False,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-acae8a973429,Foodie's Guide to China: Dishes You Must Try,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,posts,2026-07-23,4,True,INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-bc3e1afe5dc0,Shanghai Vs Beijing: Which Chinese City Should You Visit First? Guide,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,posts,2026-08-10,1,True,INDEXED,0,0,0.0,0.0,0,CITY,MEDIUM,20,0,0,12,0,32,D,MONITOR,monitor
cbt-0adceab18b53,Alipay for Foreigners in China: Setup Guide and Payment Tips (2026),https://www.chinaboundtravel.com/posts/alipay-for-foreigners-guide/,posts,2026-08-16,1,True,UNKNOWN,0,0,0.0,0.0,0,PAYMENT,HIGH,10,0,0,20,0,30,D,INDEX_FIX,not indexed; high commercial intent
cbt-02a3e0d6ed4f,China Airport Transfer Guide (2026): From Airports to City Centers,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,posts,2026-08-16,1,True,UNKNOWN,0,0,0.0,0.0,0,TRANSPORT,HIGH,10,0,0,20,0,30,D,INDEX_FIX,not indexed; high commercial intent
cbt-55aef784e6aa,"China Transportation Card Guide (2026): Metro Cards, Transit Apps & Payment Options for Foreign Travelers",https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,posts,2026-08-16,1,True,UNKNOWN,0,0,0.0,0.0,0,VISA,HIGH,10,0,0,20,0,30,D,INDEX_FIX,not indexed; high commercial intent
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,posts,2026-05-25,1,True,NOT_INDEXED,0,0,0.0,0.0,0,TRANSPORT,HIGH,0,0,0,20,0,20,D,INDEX_FIX,not indexed; high commercial intent
cbt-4e09fa4aa93d,China High-Speed Trains: Booking & Insider Tips,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,posts,2026-07-04,1,True,Page with redirect,0,0,0.0,0.0,0,TRANSPORT,HIGH,0,0,0,20,0,20,D,INDEX_FIX,not indexed; high commercial intent
cbt-6f28480baea0,Chinese Train Stations: Survival Guide for Travelers,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,posts,2026-05-23,1,True,NOT_INDEXED,0,0,0.0,0.0,0,TRANSPORT,HIGH,0,0,0,20,0,20,D,INDEX_FIX,not indexed; high commercial intent
cbt-558f85f45e9a,Great Wall of China: History Beyond the Tourist Trail,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,posts,2026-06-19,1,True,Page with redirect,0,0,0.0,0.0,0,TRANSPORT,HIGH,0,0,0,20,0,20,D,INDEX_FIX,not indexed; high commercial intent
cbt-74e8424894c4,China Bargaining Guide: How to Haggle & Shop,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,posts,2026-08-07,1,True,Alternate page with proper canonical tag,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,0,0,0,12,0,12,D,INDEX_FIX,not indexed
cbt-575e18482ca0,China Just Made It WAY Easier to Visit (My Mother-in-Law is STOKED),https://www.chinaboundtravel.com/posts/china-just-made-it-way-easier-to-visit-my-mother-i/,posts,2026-06-02,1,True,NOT_INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,0,0,0,12,0,12,D,INDEX_FIX,not indexed
cbt-0bb1cb1e308d,"China National Parks: Zhangjiajie, Jiuzhaigou, And Beyond Guide",https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,posts,2026-08-12,1,True,NOT_INDEXED,0,0,0.0,0.0,0,CITY,MEDIUM,0,0,0,12,0,12,D,INDEX_FIX,not indexed
cbt-067675763415,How Chinese Food Evolved: 2 Million Years of History,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,posts,2026-08-10,1,True,NOT_INDEXED,0,0,0.0,0.0,0,TRAVEL_GUIDE,MEDIUM,0,0,0,12,0,12,D,INDEX_FIX,not indexed
cbt-407090802298,Shanghai Like a Local  Hidden Neighborhoods Tourists Never Find,https://www.chinaboundtravel.com/posts/shanghai-like-a-local-hidden-neighborhoods-tourist/,posts,2026-06-02,1,True,NOT_INDEXED,0,0,0.0,0.0,0,CITY,MEDIUM,0,0,0,12,0,12,D,INDEX_FIX,not indexed
