page,query,impressions,clicks,ctr,position,opportunity_type,recommended_action
https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,,40,0,0.0,20.7,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,,32,0,0.0,78.07,E_MULTI_QUERY_PAGE,INTERNAL_LINK
https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,,29,0,0.0,65.03,E_MULTI_QUERY_PAGE,INTERNAL_LINK
https://www.chinaboundtravel.com/cities/xian/,,29,0,0.0,80.31,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/cities/xian/,,29,0,0.0,80.31,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/,,27,0,0.0,17.78,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/,,27,0,0.0,17.78,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,,27,0,0.0,54.95,E_MULTI_QUERY_PAGE,INTERNAL_LINK
https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,,24,0,0.0,18.88,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,,24,0,0.0,18.88,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/cities/xian/,,24,0,0.0,81.02,E_MULTI_QUERY_PAGE,INTERNAL_LINK
https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-your-ticket-to-a-smooth-china-adventure/,,21,0,0.0,18.67,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-your-ticket-to-a-smooth-china-adventure/,,21,0,0.0,18.67,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,,20,0,0.0,27.0,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,,20,0,0.0,27.0,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/internet/,,18,0,0.0,79.0,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/internet/,,18,0,0.0,79.0,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,,17,0,0.0,48.06,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,,17,0,0.0,48.06,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/cultural-etiquette-in-china-a-californians-guide/,,17,0,0.0,61.88,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/cultural-etiquette-in-china-a-californians-guide/,,17,0,0.0,61.88,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/internet/,,14,0,0.0,78.41,E_MULTI_QUERY_PAGE,INTERNAL_LINK
https://www.chinaboundtravel.com/,,13,0,0.0,39.08,E_MULTI_QUERY_PAGE,INTERNAL_LINK
https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,,11,0,0.0,11.09,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,,11,0,0.0,11.09,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,,11,0,0.0,27.45,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,,11,0,0.0,27.45,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,,11,0,0.0,37.18,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,,11,0,0.0,37.18,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,,11,0,0.0,65.19,E_MULTI_QUERY_PAGE,INTERNAL_LINK
,china high speed rail tickets,10,0,0.0,26.4,A_HIGH_IMP_LOW_CTR,META
,china high speed rail tickets,10,0,0.0,26.4,D_HIGH_IMP_ZERO_CLICK,TITLE
,china bound,8,0,0.0,7.25,B_POSITION_4_10,FAQ
https://www.chinaboundtravel.com/posts/cultural-etiquette-in-china-a-californians-guide/,,6,0,0.0,77.7,E_MULTI_QUERY_PAGE,INTERNAL_LINK
,chinabound,5,0,0.0,19.2,C_POSITION_11_20,CONTENT_UPDATE
https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,,5,0,0.0,44.75,E_MULTI_QUERY_PAGE,INTERNAL_LINK
,china high speed rail ticket,4,0,0.0,14.5,C_POSITION_11_20,CONTENT_UPDATE
,china visa itinerary template,3,0,0.0,9.33,B_POSITION_4_10,FAQ
,how to buy china high speed rail tickets,3,0,0.0,18.0,C_POSITION_11_20,CONTENT_UPDATE
https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,,3,0,0.0,76.0,E_MULTI_QUERY_PAGE,INTERNAL_LINK
,how to book china high speed rail,2,0,0.0,18.0,C_POSITION_11_20,CONTENT_UPDATE
,where to buy china high speed rail tickets,2,0,0.0,18.5,C_POSITION_11_20,CONTENT_UPDATE
https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,accommodation standards of chengdu tourism companies,2,0,0.0,68.0,G_QUERY_PAGE_MISMATCH,TECHNICAL_REVIEW
https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,accommodation standards of sichuan international travel service,2,0,0.0,68.0,G_QUERY_PAGE_MISMATCH,TECHNICAL_REVIEW
https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,accommodation standards of sichuan travel agencies,2,0,0.0,86.5,G_QUERY_PAGE_MISMATCH,TECHNICAL_REVIEW
,144-hour validation program,1,0,0.0,7.0,B_POSITION_4_10,FAQ
,ele me china,1,0,0.0,7.0,B_POSITION_4_10,FAQ
,lijiang rice terraces,1,0,0.0,14.0,C_POSITION_11_20,CONTENT_UPDATE
,china high speed rail booking,1,0,0.0,15.0,C_POSITION_11_20,CONTENT_UPDATE
,high speed train ticket,1,0,0.0,16.0,C_POSITION_11_20,CONTENT_UPDATE
,china fast train booking,1,0,0.0,17.0,C_POSITION_11_20,CONTENT_UPDATE
,china high speed train booking,1,0,0.0,17.0,C_POSITION_11_20,CONTENT_UPDATE
,how to book high speed rail in china,1,0,0.0,20.0,C_POSITION_11_20,CONTENT_UPDATE
